Mueang Satun,Satun,6.546,99.706
Mueang Rayong,Rayong,12.646,101.171
Mueang Rayong,Rayong,12.645,101.17
Mueang Rayong,Rayong,12.649,101.174
Mueang Rayong,Rayong,12.644,101.169
Mueang Chumphon,Chumphon,10.459,99.403
Sawi,Chumphon,10.291,99.241
Mueang Maha Sarakham,Maha Sarakham,16.162,103.484
Ko Samui,Surat Thani,9.708,99.675
Ko Samui,Surat Thani,9.796,99.713
Ko Samui,Surat Thani,9.677,99.659
Sattahip,Chon Buri,12.611,100.889
Hat Samran,Trang,7.033,99.449
Mueang Chumphon,Chumphon,10.477,99.369
Pathio,Chumphon,10.862,99.486
Thung Tako,Chumphon,10.165,99.176
Pathio,Chumphon,10.8,99.538
Mueang Satun,Satun,6.672,99.844
Ko Samui,Surat Thani,9.767,99.668
Mueang Chumphon,Chumphon,10.466,99.359
Thung Tako,Chumphon,10.131,99.165
Mueang Satun,Satun,6.705,99.799
Hat Samran,Trang,6.984,99.473
Sawi,Chumphon,10.197,99.221
Thung Tako,Chumphon,10.118,99.216
Hat Samran,Trang,7.067,99.398
Pathio,Chumphon,10.782,99.53
Laem Sing,Chanthaburi,12.465,102.066
Hat Samran,Trang,7.016,99.445
Pathio,Chumphon,10.84,99.497
Mueang Satun,Satun,6.71,99.794
Ko Samui,Surat Thani,9.707,99.676
Khura Buri,Phang-nga,9.406,97.901
Sattahip,Chon Buri,12.616,100.918
Hat Samran,Trang,7.075,99.451
Ko Kut,Trat,11.817,102.397
Ko Samui,Surat Thani,9.551,99.694
Mueang Satun,Satun,6.582,99.719
Khura Buri,Phang-nga,9.495,97.874
Mueang Satun,Satun,6.551,99.35
Ko Kut,Trat,11.805,102.376
Ko Kut,Trat,11.857,102.525
Ko Samui,Surat Thani,9.681,99.677
Suk Samran,Ranong,9.401,98.392
Kantang,Trang,7.272,99.475
Don Sak,Surat Thani,9.31,99.66
Sawi,Chumphon,10.247,99.249
Ko Samui,Surat Thani,9.699,99.68
Mueang Satun,Satun,6.675,99.833
Ko Samui,Surat Thani,9.709,99.676
Ko Kut,Trat,11.815,102.398
Ko Kut,Trat,11.819,102.402
Ko Samui,Surat Thani,9.696,99.662
Mueang Satun,Satun,6.542,99.164
Ko Kut,Trat,11.858,102.523
Kantang,Trang,7.303,99.394
Mueang Phuket,Phuket,7.924,98.455
Sawi,Chumphon,10.222,99.243
Mueang Satun,Satun,6.524,99.269
Ko Samui,Surat Thani,9.706,99.675
Ko Samui,Surat Thani,9.661,99.659
